Permission,moo,ownerid,groupid,size,month,day,year,name
drwxrwsr-x,107,linda.winkler,feder,4096,Oct,24,13:49,ast390/
drwxr-sr-x,2,matt.craig,feder,16384,Dec,10,2012,ast390/2012-12-09
drwxr-sr-x,2,matt.craig,feder,12288,Apr,14,2013,ast390/2013-04-13
drwxrwsr-x,2,matt.craig,feder,12288,Mar,11,2012,ast390/2012-03-10
drwxr-sr-x,2,matt.craig,feder,4096,Apr,9,2012,ast390/2012-04-09
drwxrwsr-x,2,linda.winkler,feder,4096,Feb,19,2012,ast390/2012-02-19
drwxrwsr-x,2,matt.craig,feder,16384,Oct,1,2011,ast390/2011-09-30
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-04-13
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-02-16
drwxr-sr-x,2,matt.craig,feder,16384,Nov,16,2012,ast390/2012-11-15
drwxr-sr-x,2,matt.craig,feder,16384,Aug,21,17:52,ast390/2013-08-19
drwxrwsr-x,2,linda.winkler,feder,12288,Jun,8,2011,ast390/2011-04-04
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-02-27
drwxrwsr-x,2,laura.herzog,feder,12288,May,3,4:13,ast390/2013-05-02
drwxr-sr-x,2,matt.craig,feder,4096,Apr,1,2012,ast390/2011-05-02
drwxrwsr-x,2,matt.craig,feder,36864,Nov,29,2011,ast390/2011-11-28
drwxr-sr-x,2,matt.craig,feder,16384,Aug,21,2012,ast390/2012-08-20
drwxrwsr-x,2,matt.craig,feder,20480,Feb,6,2012,ast390/2012-02-05
drwxrwsr-x,2,juan.cabanela,feder,4096,Sep,23,2012,ast390/2012-09-22
drwxrwsr-x,2,matt.craig,feder,12288,Sep,23,2011,ast390/2011-09-22
drwxrwsr-x,2,matt.craig,feder,12288,Sep,12,2011,ast390/2011-09-11
drwxrwsr-x,2,matt.craig,feder,20480,Feb,14,2012,ast390/2012-02-07
drwxrwsr-x,2,matt.craig,feder,12288,Sep,10,2011,ast390/2011-09-10
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-03-29
drwxr-sr-x,2,matt.craig,feder,12288,Apr,29,5:59,ast390/2013-04-28
drwxr-sr-x,2,matt.craig,feder,12288,May,24,3:30,ast390/2013-05-23
drwxrwsr-x,2,matt.craig,feder,20480,Nov,9,2011,ast390/2011-11-08
drwxrwsr-x,2,matt.craig,feder,12288,Sep,27,2011,ast390/2011-09-27
drwxrwsr-x,2,tyler.lane,feder,12288,Dec,5,2011,ast390/2011-12-05
drwxrwsr-x,2,johnsonho,feder,4096,Sep,24,2012,ast390/2012-09-23
drwxrwsr-x,3,matt.craig,feder,4096,Aug,25,2011,ast390/2011-08-24
drwxrwsr-x,2,matt.craig,feder,4096,Aug,24,2011,ast390/2011-08-24/M101
drwxrwsr-x,2,shouvik,feder,4096,Sep,10,2011,ast390/2011-09-09
drwxrwsr-x,2,shouvik,feder,4096,Oct,23,2011,ast390/2011-10-23
drwxr-sr-x,2,matt.craig,feder,20480,Jul,31,2012,ast390/2012-07-30
drwxrwsr-x,2,matt.craig,feder,12288,Aug,27,2011,ast390/2011-08-26
drwxrwsr-x,2,matt.craig,feder,12288,Nov,22,2011,ast390/2011-11-21
drwxrwsr-x,2,laura.herzog,feder,4096,Jan,27,2013,ast390/2013-01-27
drwxrwsr-x,2,beau.scheving,feder,4096,May,7,0:48,ast390/2013-05-06
drwxrwsr-x,4,tyler.lane,feder,4096,Dec,5,2011,ast390/2011-12-01
drwxrwsr-x,2,tyler.lane,feder,4096,Dec,1,2011,ast390/2011-12-01/New Folder
drwxrwsr-x,2,tyler.lane,feder,4096,Dec,1,2011,ast390/2011-12-01/Pictures
drwxr-sr-x,2,matt.craig,feder,20480,Aug,17,2012,ast390/2012-08-16
drwxrwsr-x,2,tyler.lane,feder,12288,Feb,13,2012,ast390/2012-02-12
drwxr-sr-x,2,linda.winkler,feder,4096,Jun,21,2012,ast390/2012-06-21
drwxrwsr-x,2,johnsonho,feder,4096,Sep,26,2012,ast390/2012-09-26
drwxrwsr-x,2,matt.craig,feder,12288,Sep,25,2011,ast390/2011-09-24
drwxr-sr-x,3,matt.craig,feder,12288,Sep,12,5:45,ast390/2013-09-11
drwxr-sr-x,2,matt.craig,feder,4096,Sep,12,0:10,ast390/2013-09-11/auto-darked-DO-NOT-USE
drwxr-sr-x,2,matt.craig,feder,12288,Oct,16,7:27,ast390/2013-10-15
drwxr-sr-x,2,matt.craig,feder,12288,May,10,5:15,ast390/2013-05-09
drwxrwsr-x,2,larsong,feder,16384,Mar,13,2012,ast390/2012-03-12
drwxr-sr-x,2,matt.craig,feder,16384,Sep,13,6:32,ast390/2013-09-12
drwxrwsr-x,3,shouvik,feder,4096,Sep,25,2011,ast390/2011-09-25
drwxrwsr-x,2,shouvik,feder,12288,Sep,25,2011,ast390/2011-09-25/09.25.2011
drwxr-sr-x,2,matt.craig,feder,24576,Sep,30,2012,ast390/2012-09-29
drwxrwsr-x,2,matt.craig,feder,4096,Aug,9,2011,ast390/2011-03-10
drwxrwsr-x,8,linda.winkler,feder,4096,Feb,12,2012,ast390/2012-02-11
drwxrwsr-x,2,linda.winkler,feder,4096,Feb,12,2012,ast390/2012-02-11/EY Uma
drwxrwsr-x,2,linda.winkler,feder,4096,Feb,12,2012,ast390/2012-02-11/SZ_Lyn
drwxrwsr-x,2,linda.winkler,feder,4096,Feb,12,2012,ast390/2012-02-11/Calibs
drwxrwsr-x,2,linda.winkler,feder,4096,Feb,12,2012,ast390/2012-02-11/NSV 4863
drwxrwsr-x,2,linda.winkler,feder,4096,Feb,12,2012,ast390/2012-02-11/TC0027C
drwxrwsr-x,2,linda.winkler,feder,4096,Feb,12,2012,ast390/2012-02-11/M101
drwxr-xr-x,5,matt.craig,feder,4096,May,25,2012,ast390/2011-03-26
drwxr-xr-x,2,matt.craig,feder,4096,May,25,2012,ast390/2011-03-26/M101-seq
drwxr-xr-x,2,matt.craig,feder,4096,May,25,2012,ast390/2011-03-26/calibration
drwxr-xr-x,2,matt.craig,feder,4096,May,25,2012,ast390/2011-03-26/HAT-P-seq
drwxrwsr-x,2,shouvik,feder,12288,Feb,2,2012,ast390/2012-02-01
drwxrwsr-x,2,matt.craig,feder,12288,Sep,6,2011,ast390/2011-09-06
drwxrwsr-x,3,linda.winkler,feder,12288,Apr,1,2012,ast390/2012-03-21
drwxrwsr-x,2,linda.winkler,feder,4096,Mar,21,2012,ast390/2012-03-21/mar21_2012
drwxr-sr-x,2,matt.craig,feder,12288,Oct,7,2012,ast390/2012-10-06
drwxrwsr-x,2,matt.craig,feder,16384,Sep,15,2011,ast390/2011-09-14
drwxr-sr-x,2,matt.craig,feder,12288,Jun,15,2012,ast390/2012-06-14
drwxrwsr-x,2,matt.craig,feder,20480,Oct,17,2011,ast390/2011-10-16
drwxr-sr-x,2,matt.craig,feder,12288,Jun,5,2012,ast390/2012-06-04
drwxr-sr-x,2,matt.craig,feder,20480,Sep,17,6:54,ast390/2013-09-16
drwxrwsr-x,2,linda.winkler,feder,4096,Sep,6,13:23,ast390/2011-02-09
drwxr-sr-x,2,matt.craig,feder,12288,Aug,13,4:49,ast390/2013-08-12
drwxr-sr-x,3,matt.craig,feder,12288,Apr,20,2013,ast390/2013-04-19
drwxr-sr-x,2,matt.craig,feder,4096,Apr,20,2013,ast390/2013-04-19/BAD_TIMES
drwxrwsr-x,2,matt.craig,feder,12288,Nov,17,2011,ast390/2011-11-17
drwxr-sr-x,2,shouvik,feder,4096,Apr,5,2012,ast390/2012-04-04
drwxr-sr-x,2,matt.craig,feder,16384,Aug,20,4:32,ast390/2013-08-16
drwxrwsr-x,2,matt.craig,feder,12288,Nov,3,2011,ast390/2011-11-02
drwxr-sr-x,2,matt.craig,feder,20480,Apr,4,2012,ast390/2012-04-03
drwxr-sr-x,2,matt.craig,feder,20480,Jan,10,2013,ast390/2013-01-09
drwxrwsr-x,2,matt.craig,feder,4096,Sep,7,2011,ast390/2011-09-07
drwxrwsr-x,2,matt.craig,feder,12288,Mar,28,2013,ast390/2011-08-28
drwxrwsr-x,2,tyler.lane,feder,12288,Nov,23,2011,ast390/2011-11-22
drwxr-sr-x,2,matt.craig,feder,12288,Aug,12,5:49,ast390/2013-08-11
drwxrwsr-x,2,aaron.peterson,feder,20480,Apr,27,2013,ast390/2013-04-26
drwxrwsr-x,6,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-04-28
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-04-28/m51
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-04-28/Calibration
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-04-28/UX_UMA
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-04-28/SZ_LYN
drwxrwsr-x,4,linda.winkler,feder,4096,Aug,9,2011,ast390/2011-03-25
drwxrwsr-x,3,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-03-25/BH Aur
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-03-25/BH Aur/BH_Aur_calib
drwxrwsr-x,3,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-03-25/TW Boo
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,8,2011,ast390/2011-03-25/TW Boo/calib_TW_Boo
drwxrwsr-x,2,aaron.peterson,feder,12288,Oct,29,2011,ast390/2011-10-28
drwxr-sr-x,2,matt.craig,feder,16384,Aug,11,2012,ast390/2012-08-10
drwxrwsr-x,2,matt.craig,feder,12288,Sep,1,2011,ast390/2011-08-31
drwxrwsr-x,2,matt.craig,feder,20480,Dec,20,2011,ast390/2011-12-19
drwxrwsr-x,2,matt.craig,feder,20480,Nov,24,2011,ast390/2011-11-23
drwxrwsr-x,2,linda.winkler,feder,4096,Jan,26,2012,ast390/2012-01-26
drwxrwsr-x,2,shouvik,feder,4096,Feb,9,2012,ast390/2012-02-08
drwxrwsr-x,2,shouvik,feder,4096,Jan,24,2012,ast390/2012-01-24
drwxr-sr-x,2,matt.craig,feder,12288,Jul,4,3:57,ast390/2013-07-03
drwxrwsr-x,2,aaron.peterson,feder,12288,Feb,11,2012,ast390/2012-02-10
drwxr-sr-x,2,matt.craig,feder,20480,Aug,26,2012,ast390/2012-08-25
drwxrwsr-x,2,juan.cabanela,feder,4096,Sep,9,2011,ast390/2011-09-08
drwxrwsr-x,2,linda.winkler,feder,4096,Jun,29,2011,ast390/2011-06-29
drwxr-sr-x,2,matt.craig,feder,12288,Aug,15,14:03,ast390/2013-08-13
drwxrwsr-x,2,matt.craig,feder,20480,Oct,22,2011,ast390/2011-10-21
drwxr-sr-x,2,matt.craig,feder,12288,Sep,14,2:05,ast390/2013-09-13
drwxrwsr-x,2,shouvik,feder,4096,Jul,22,2011,ast390/2011-07-21
drwxrwsr-x,2,linda.winkler,feder,4096,Jul,7,2011,ast390/2011-07-05
drwxrwsr-x,2,matt.craig,feder,4096,Dec,20,2011,ast390/2011-12-09
drwxr-sr-x,2,linda.winkler,feder,4096,May,13,2012,ast390/2012-05-12
drwxr-sr-x,2,matt.craig,feder,12288,Apr,12,2012,ast390/2012-04-11
drwxrwsr-x,2,matt.craig,feder,4096,Sep,5,2011,ast390/2011-09-05
drwxrwsr-x,2,matt.craig,feder,12288,Oct,2,2011,ast390/2011-10-02
drwxr-sr-x,2,matt.craig,feder,12288,Mar,11,2013,ast390/2013-03-10
drwxrwsr-x,2,linda.winkler,feder,4096,Aug,22,2011,ast390/2011-03-15
drwxrwsr-x,2,shouvik,feder,20480,Sep,5,2011,ast390/2011-09-04
drwxrwsr-x,2,matt.craig,feder,20480,Jan,24,2012,ast390/2012-01-23
