object,ra,dec
bh aur,5:12:04.27,+33:57:46.94
corot 11b,18:42:44.95,+5:56:15.72
ee lyn,8:14:50.31,+48:49:16.17
el dra,15:21:59.86,+61:12:40.51
en cep,0:24:41.27,+83:26:18.51
er ori,5:11:14.51,-8:33:24.72
ey uma,9:02:20.76,+49:49:09.28
fk peg,21:26:32.92,+10:48:54.92
hat p 23,20:24:29.73,+16:45:43.81
hat p 32 b,2:04:10.28,+46:41:16.20
hr7308,19:15:59.49,+27:55:34.71
ht vul,20:03:54.70,+22:36:54.02
kelt-1b,0:01:26.92,+39:23:01.68
ku dra,13:01:53.67,+65:54:07.30
kz uma,9:31:42.13,+66:51:19.28
m101,14:03:12.58,+54:20:55.50
m106,12:18:57.62,+47:18:13.38
m34,2:42:04.99,+42:45:42.11
m44,8:40:24.00,+19:40:00.10
m51,13:29:52.70,+47:11:42.93
m52,23:24:48.00,+61:35:35.89
m57,18:53:35.08,+33:01:45.05
m65,11:18:55.96,+13:05:31.95
m81,9:55:33.17,+69:03:55.04
m92,17:17:07.39,+43:08:09.42
m95,10:43:57.73,+11:42:12.98
mu vul,20:02:34.26,+22:58:06.50
my aql,19:43:51.48,+12:07:35.22
ngc 5907,15:15:53.69,+56:19:43.87
ngc 6946,20:34:52.33,+60:09:13.26
ngc891,2:22:32.91,+42:20:53.95
nsv 4863,10:29:43.10,+78:38:39.10
orion nebula,5:35:17.30,-5:23:28.01
pleiades,3:47:00.00,+24:07:00.11
qq dra,15:16:46.67,+61:44:56.41
rx for,3:11:13.21,-26:28:58.84
sa 92,0:55:03.80,+0:47:13.20
sa104,12:42:53.51,-0:32:00.90
sa110,18:45:00.00,+0:36:00.02
sa111,19:37:49.70,+0:21:35.00
sa113,21:40:58.90,+0:27:43.00
sa95,3:53:21.00,-0:01:10.00
sa98,6:52:04.10,-0:23:58.01
sw lac,22:53:41.66,+37:56:18.65
sz lyn,8:09:35.75,+44:28:17.59
tres-3b,17:52:07.02,+37:32:46.22
ugc9379,14:33:58.66,+40:14:40.27
v0440 lac,22:55:25.37,+52:17:09.21
v0552 cas,1:05:18.69,+63:21:24.60
v0556 cas,1:23:51.77,+62:31:20.10
v0566 cas,23:48:50.17,+62:12:52.27
v381 per,4:10:30.72,+32:56:17.89
vx her,16:30:40.80,+18:22:00.57
wasp 10 b,23:15:58.30,+31:27:46.29
xx cyg,20:03:15.65,+58:57:16.54
